order_date,order_hour,geolocation_state,product_category_name,sales_count
2016-09-15,12,SP,belleza_salud,3
2016-10-03,9,SP,relojes_regalos,1
2016-10-03,16,RS,deporte_ocio,1
2016-10-03,21,RJ,deporte_ocio,1
2016-10-03,21,RS,deporte_ocio,1
2016-10-03,22,GO,juguetes,1
2016-10-03,22,MG,muebles_decoracion,1
2016-10-03,22,SP,moda_calzado,1
2016-10-03,22,SP,muebles_decoracion,1
2016-10-04,9,SP,consolas_juegos,1
2016-10-04,9,SP,utensilios_domesticos,1
2016-10-04,10,PA,muebles_decoracion,1
2016-10-04,10,SC,telefonia_fija,1
2016-10-04,11,RN,muebles_decoracion,1
2016-10-04,12,MG,climatizacion,1
2016-10-04,12,SP,automotriz,1
2016-10-04,13,ES,belleza_salud,1
2016-10-04,13,MG,juguetes,1
2016-10-04,13,MG,perfumeria,1
2016-10-04,13,MT,muebles_decoracion,2
2016-10-04,13,PE,deporte_ocio,1
2016-10-04,13,RJ,cosas_geniales,1
2016-10-04,13,RJ,muebles_decoracion,1
2016-10-04,13,SP,juguetes,1
2016-10-04,14,RJ,muebles_decoracion,1
2016-10-04,14,RJ,perfumeria,1
2016-10-04,14,RS,muebles_decoracion,1
2016-10-04,14,SP,perfumeria,1
2016-10-04,15,CE,perfumeria,1
2016-10-04,15,MG,belleza_salud,1
2016-10-04,15,SC,belleza_salud,2
2016-10-04,15,SP,juguetes,1
2016-10-04,15,SP,utensilios_domesticos,2
2016-10-04,16,PA,cosas_geniales,1
2016-10-04,16,RJ,juguetes,2
2016-10-04,16,SP,muebles_decoracion,1
2016-10-04,16,SP,perfumeria,2
2016-10-04,17,SP,belleza_salud,1
2016-10-04,17,SP,muebles_decoracion,1
2016-10-04,18,MG,deporte_ocio,1
2016-10-04,18,SP,belleza_salud,1
2016-10-04,18,SP,muebles_oficina,1
2016-10-04,19,BA,telefonia,1
2016-10-04,19,RJ,belleza_salud,1
2016-10-04,19,RJ,consolas_juegos,1
2016-10-04,19,RS,consolas_juegos,1
2016-10-04,20,SP,climatizacion,1
2016-10-04,21,MG,bebes,1
2016-10-04,21,MG,belleza_salud,1
2016-10-04,21,RJ,deporte_ocio,1
2016-10-04,21,SP,informatica_accesorios,1
2016-10-04,22,MG,muebles_decoracion,1
2016-10-04,22,PR,bebes,2
2016-10-04,22,RJ,muebles_decoracion,2
2016-10-04,22,SP,belleza_salud,1
2016-10-04,23,MG,perfumeria,1
2016-10-04,23,PR,belleza_salud,1
2016-10-04,23,PR,cama_mesa_bano,2
2016-10-04,23,PR,muebles_decoracion,2
2016-10-04,23,SP,climatizacion,2
2016-10-04,23,SP,herramientas_jardin,1
2016-10-05,0,SP,moda_ropa_masculina,1
2016-10-05,7,PE,informatica_accesorios,1
2016-10-05,8,MG,juguetes,1
2016-10-05,8,PR,belleza_salud,1
2016-10-05,8,PR,informatica_accesorios,1
2016-10-05,8,RS,industria_comercio_y_negocios,1
2016-10-05,9,PA,juguetes,1
2016-10-05,9,PR,belleza_salud,1
2016-10-05,11,GO,perfumeria,1
2016-10-05,11,RJ,automotriz,1
2016-10-05,11,SP,muebles_oficina,1
2016-10-05,11,SP,telefonia_fija,1
2016-10-05,12,MA,mercado,6
2016-10-05,12,MG,cama_mesa_bano,1
2016-10-05,12,PE,perfumeria,1
2016-10-05,12,RJ,perfumeria,1
2016-10-05,13,MG,telefonia,2
2016-10-05,14,RJ,bebes,1
2016-10-05,14,SP,telefonia,1
2016-10-05,15,PE,deporte_ocio,1
2016-10-05,15,SP,automotriz,1
2016-10-05,17,MG,juguetes,1
2016-10-05,17,RS,juguetes,1
2016-10-05,17,SC,climatizacion,4
2016-10-05,17,SP,automotriz,1
2016-10-05,19,SP,muebles_decoracion,5
2016-10-05,20,CE,consolas_juegos,1
2016-10-05,20,MG,belleza_salud,1
2016-10-05,20,MG,muebles_decoracion,1
2016-10-05,20,RS,juguetes,1
2016-10-05,21,MG,moda_ropa_femenina,1
2016-10-05,22,DF,juguetes,1
2016-10-05,22,RS,muebles_decoracion,1
2016-10-05,22,SP,muebles_decoracion,1
2016-10-05,23,MG,informatica_accesorios,1
2016-10-06,0,RS,muebles_decoracion,1
2016-10-06,2,SP,muebles_decoracion,1
2016-10-06,7,MG,belleza_salud,2
2016-10-06,7,SP,relojes_regalos,1
2016-10-06,8,CE,automotriz,1
2016-10-06,8,SP,mercado,2
2016-10-06,9,RJ,cama_mesa_bano,1
2016-10-06,9,SP,informatica_accesorios,1
2016-10-06,9,SP,perfumeria,1
2016-10-06,10,DF,relojes_regalos,1
2016-10-06,10,SC,belleza_salud,1
2016-10-06,10,SP,perfumeria,2
2016-10-06,11,SP,belleza_salud,1
2016-10-06,11,SP,juguetes,1
2016-10-06,12,RJ,tienda_mascotas,1
2016-10-06,12,SP,bebes,1
2016-10-06,12,SP,electronicos,1
2016-10-06,13,DF,perfumeria,1
2016-10-06,13,SP,moda_bolsas_y_accesorios,1
2016-10-06,13,SP,tienda_mascotas,1
2016-10-06,14,RJ,belleza_salud,2
2016-10-06,15,RN,utensilios_domesticos,2
2016-10-06,15,RS,deporte_ocio,1
2016-10-06,16,PR,herramientas_jardin,1
2016-10-06,16,RJ,cosas_geniales,1
2016-10-06,16,SP,perfumeria,1
2016-10-06,17,GO,muebles_decoracion,1
2016-10-06,17,MG,perfumeria,1
2016-10-06,17,PR,muebles_decoracion,1
2016-10-06,18,ES,cosas_geniales,1
2016-10-06,18,GO,deporte_ocio,1
2016-10-06,18,PR,moda_bolsas_y_accesorios,2
2016-10-06,19,GO,juguetes,1
2016-10-06,19,SP,moda_bolsas_y_accesorios,1
2016-10-06,20,RJ,bebes,1
2016-10-06,20,SC,muebles_decoracion,1
2016-10-06,20,SP,telefonia,1
2016-10-06,22,RJ,juguetes,1
2016-10-06,22,SP,perfumeria,1
2016-10-06,22,SP,telefonia_fija,1
2016-10-06,23,PR,deporte_ocio,1
2016-10-07,0,RJ,perfumeria,3
2016-10-07,2,SP,juguetes,1
2016-10-07,8,RJ,herramientas_jardin,1
2016-10-07,8,SP,belleza_salud,1
2016-10-07,9,SP,muebles_oficina,1
2016-10-07,9,SP,perfumeria,1
2016-10-07,10,AL,automotriz,1
2016-10-07,10,RJ,juguetes,3
2016-10-07,10,RJ,perfumeria,1
2016-10-07,10,RN,informatica_accesorios,1
2016-10-07,10,RS,cosas_geniales,1
2016-10-07,10,SP,belleza_salud,1
2016-10-07,10,SP,muebles_decoracion,1
2016-10-07,10,SP,telefonia_fija,1
2016-10-07,11,SP,juguetes,1
2016-10-07,11,SP,telefonia,1
2016-10-07,11,SP,utensilios_domesticos,3
2016-10-07,12,MG,cosas_geniales,1
2016-10-07,14,MG,mercado,1
2016-10-07,14,RJ,perfumeria,1
2016-10-07,14,RS,industria_comercio_y_negocios,1
2016-10-07,14,SP,bebes,1
2016-10-07,14,SP,belleza_salud,1
2016-10-07,15,RJ,perfumeria,1
2016-10-07,16,RJ,belleza_salud,1
2016-10-07,16,SP,bebes,2
2016-10-07,17,MG,automotriz,1
2016-10-07,17,MG,muebles_decoracion,1
2016-10-07,17,SP,muebles_decoracion,1
2016-10-07,19,PR,belleza_salud,1
2016-10-07,19,PR,muebles_decoracion,1
2016-10-07,21,RJ,audio,1
2016-10-07,21,SP,cosas_geniales,1
2016-10-07,21,SP,tienda_mascotas,1
2016-10-07,22,SE,informatica_accesorios,1
2016-10-07,22,SP,deporte_ocio,1
2016-10-07,22,SP,muebles_decoracion,1
2016-10-07,23,PR,muebles_decoracion,1
2016-10-08,1,RJ,relojes_regalos,1
2016-10-08,2,SP,consolas_juegos,1
2016-10-08,4,SP,moda_bolsas_y_accesorios,1
2016-10-08,8,PA,muebles_decoracion,3
2016-10-08,8,PR,belleza_salud,1
2016-10-08,9,RJ,perfumeria,1
2016-10-08,9,SP,deporte_ocio,1
2016-10-08,10,CE,muebles_decoracion,1
2016-10-08,10,ES,muebles_oficina,1
2016-10-08,10,MA,utensilios_domesticos,1
2016-10-08,10,PI,belleza_salud,1
2016-10-08,11,DF,muebles_decoracion,2
2016-10-08,11,GO,perfumeria,1
2016-10-08,13,SP,herramientas_jardin,1
2016-10-08,14,PE,muebles_decoracion,1
2016-10-08,14,SP,muebles_decoracion,1
2016-10-08,15,BA,utensilios_domesticos,1
2016-10-08,15,MG,informatica_accesorios,1
2016-10-08,15,RJ,bebes,1
2016-10-08,15,SP,muebles_decoracion,2
2016-10-08,16,SP,deporte_ocio,1
2016-10-08,17,SP,industria_comercio_y_negocios,2
2016-10-08,17,SP,muebles_decoracion,1
2016-10-08,18,MG,belleza_salud,1
2016-10-08,18,RJ,belleza_salud,1
2016-10-08,20,DF,informatica_accesorios,1
2016-10-08,20,GO,belleza_salud,1
2016-10-08,20,RJ,juguetes,1
2016-10-08,20,SP,informatica_accesorios,1
2016-10-08,21,PE,belleza_salud,1
2016-10-08,21,RJ,panales_higiene,1
2016-10-08,21,SP,muebles_decoracion,1
2016-10-08,22,CE,perfumeria,1
2016-10-08,22,SP,bebes,1
2016-10-08,22,SP,muebles_decoracion,1
2016-10-08,23,SC,perfumeria,1
2016-10-09,0,SP,belleza_salud,1
2016-10-09,0,SP,perfumeria,1
2016-10-09,11,RJ,deporte_ocio,1
2016-10-09,11,RS,informatica_accesorios,1
2016-10-09,12,PR,muebles_decoracion,1
2016-10-09,12,SC,belleza_salud,1
2016-10-09,13,MG,utensilios_domesticos,1
2016-10-09,13,PR,muebles_decoracion,1
2016-10-09,15,MG,muebles_oficina,1
2016-10-09,15,SC,moda_bolsas_y_accesorios,1
2016-10-09,22,CE,belleza_salud,1
2016-10-09,22,MG,belleza_salud,1
2016-10-09,22,MG,herramientas_jardin,1
2016-10-09,22,PR,cama_mesa_bano,3
2016-10-09,22,PR,muebles_decoracion,3
2016-10-09,22,RJ,juguetes,1
2016-10-09,22,RJ,muebles_decoracion,1
2016-10-09,22,RS,deporte_ocio,1
2016-10-09,22,SC,belleza_salud,1
2016-10-09,22,SP,perfumeria,1
2016-10-09,23,MG,moda_bolsas_y_accesorios,1
2016-10-09,23,SP,juguetes,1
2016-10-09,23,SP,cama_mesa_bano,1
2016-10-09,23,SP,muebles_decoracion,2
2016-10-10,0,PB,juguetes,1
2016-10-10,2,SP,belleza_salud,1
2016-10-10,4,MG,telefonia,1
2016-10-10,4,SP,audio,1
2016-10-10,7,BA,moda_bolsas_y_accesorios,1
2016-10-10,7,RJ,utensilios_domesticos,1
2016-10-10,8,SP,muebles_decoracion,1
2016-10-10,9,SP,deporte_ocio,1
2016-10-10,10,RS,tienda_mascotas,1
2016-10-10,10,SE,muebles_decoracion,1
2016-10-10,10,SP,muebles_decoracion,1
2016-10-10,11,DF,belleza_salud,2
2016-10-10,11,RJ,muebles_decoracion,1
2016-10-10,11,RJ,telefonia_fija,1
