seller_id,won_date,business_segment,lead_type,business_type
2c43fb513632d29b3b58df74816f1b06,2018-02-26 19:58:54,pet,online_medium,reseller
bbb7d7893a450660432ea6652310ebb7,2018-05-08 20:17:59,car_accessories,industry,reseller
612170e34b97004b3ba37eae81836b4c,2018-06-05 17:27:23,home_appliances,online_big,reseller
21e1781e36faf92725dde4730a88ca0f,2018-01-17 13:51:03,food_drink,online_small,reseller
ed8cb7b190ceb6067227478e48cf8dde,2018-07-03 20:17:45,home_appliances,industry,manufacturer
1c742ac33582852aaf3bcfbf5893abcf,2018-02-07 18:04:05,health_beauty,online_medium,manufacturer
92d7568ad0c5c76fd7d341b2d46f24d6,2018-04-16 18:18:22,computers,online_medium,reseller
44ed138eca6214d572ce1d813fb0049b,2018-04-17 17:01:57,health_beauty,offline,manufacturer
0b28859cd04d23edefee9c591fb03cd8,2018-05-14 18:37:15,household_utilities,offline,reseller
87d73636a3acf123e842bb890a4db036,2018-04-24 03:00:00,household_utilities,online_medium,manufacturer
f7a0d94e966c5665355a182d5b199fcf,2018-02-28 19:42:14,construction_tools_house_garden,online_medium,reseller
b566ab0ef88016e00422755e305103c6,2018-02-23 13:54:40,construction_tools_house_garden,online_big,reseller
2d2322d842118867781fc737e96d59a1,2018-05-22 13:24:08,household_utilities,online_medium,reseller
e7012030d0fdd1d3ca504f6de7909c35,2018-06-14 14:30:20,toys,online_big,reseller
9e7c5f4d7770eab65738cca38f9efccf,2018-04-10 03:00:00,sports_leisure,online_medium,reseller
6a6b1614baaaf766293c17d8cb8c5a9d,2018-09-10 14:18:01,stationery,industry,reseller
df91910b6a03bb2e3358fa6a35e32f6f,2018-04-10 19:21:54,food_drink,online_medium,manufacturer
92d46311e4fa7583d14c351fdc881af6,2018-01-26 17:23:46,food_supplement,industry,manufacturer
249f0e9905a6e06ad6c6bea7547ab9f6,2018-05-11 19:03:19,home_decor,online_medium,manufacturer
b494891378bd8f4560abe576c52deacd,2018-06-19 14:08:22,health_beauty,online_top,reseller
8c45b4bc4b5c1e2a4e789b4466a39b77,2018-02-07 13:57:02,bed_bath_table,offline,reseller
49f6ca9231352dedda1ad1176ce70531,2018-04-16 13:09:09,health_beauty,online_small,reseller
7d13fca15225358621be4086e1eb0964,2018-02-08 17:20:14,watches,online_big,reseller
efa89b428cbc422ba9313b4fc6feafc7,2018-02-16 12:31:56,fashion_accessories,online_beginner,manufacturer
cb3666965a560e723403683bd378a5f7,2018-02-22 12:40:15,jewerly,online_medium,manufacturer
e819bcfade7b5d88a27325eb6cfd62c5,2018-02-12 13:18:13,home_decor,industry,manufacturer
70c27847eca8195c983ed7e798c56743,2018-02-08 20:57:44,pet,online_small,reseller
556a6409838156ea299c9d1f9e2dde43,2018-04-06 20:52:54,household_utilities,industry,reseller
a4fc6eadaff1576af888509a53420f6a,2018-04-13 12:27:48,computers,online_beginner,reseller
0975b0dd18febd1008391fa53dff0891,2018-04-18 18:02:08,party,online_medium,manufacturer
